Atom,Wyckoff site,x,y,z,Ueq (Å²)
Ba,2c,0.25,0.25,0.23876(7),0.0106(3)
Cu1,2a,0.75,0.25,0,0.0145(4)
Cu2,2c,0.25,0.25,0.63189(15),0.0137(4)
Sb1,2b,0.75,0.25,0.5,0.0083(3)
Sb2,2c,0.25,0.25,0.87380(8),0.0110(3)
