Atom pair,Distance (Å)
Ba–Cu1 × 4,3.4722(6)
Ba–Cu2 × 4,3.5746(7)
Ba–Sb2 × 4,3.5077(4)
Ba–Sb1 × 4,3.6560(6)
Cu1–Sb2 × 4,2.6963(4)
Cu2–Sb1 × 4,2.7278(8)
Cu2–Sb2,2.611(2)
