Пористость  
60
Модуль Юнга
7,64
Предел упругости
0,67
Деформация предела упругости
0,074
Предел текучести
0,77
Деформация предела текучести
0,1
Предел прочности
0,978
Деформация предела прочности
0,256
Распределение
8,7 146
11,6 125
14,5 126
17,4 91
20,3 111
23,2 113
26,099999999999998 96
29 106
31,9 76
34,8 95
37,699999999999996 96
40,6 79
43,5 96
46,4 79
49,3 68
52,199999999999996 80
55,1 81
58 68
60,9 76
63,8 66
66,7 58
69,6 62
72,5 54
75,39999999999999 43
78,3 62
81,2 50
84,1 56
87 60
89,89999999999999 67
92,8 43
95,7 46
98,6 45
101,5 50
104,39999999999999 37
107,3 57
110,2 42
113,1 62
116 45
118,89999999999999 37
121,8 53
124,7 49
127,6 45
130,5 30
133,4 36
136,29999999999998 26
139,2 27
142,1 35
145 40
147,9 33
150,79999999999998 22
153,7 35
156,6 24
159,5 27
162,4 24
165,29999999999998 22
168,2 18
171,1 23
174 22
176,9 17
179,79999999999998 20
182,7 17
185,6 10
188,5 16
191,4 10
194,29999999999998 10
197,2 8
200,1 12
203 10
205,9 6
208,79999999999998 11
211,7 3
214,6 11
217,5 8
220,4 9
223,29999999999998 5
226,2 4
229,1 7
232 5
234,9 9
237,79999999999998 5
240,7 8
243,6 3
246,5 8
249,4 5
252,29999999999998 7
255,2 9
258,09999999999997 5
261 8
263,9 8
266,8 6
269,7 7
272,59999999999997 4
275,5 1
278,4 3
281,3 2
284,2 0
287,09999999999997 4
290 5
292,9 9
295,8 2
298,7 3
301,59999999999997 4
304,5 4
307,4 2
310,3 1
313,2 0
316,09999999999997 1
319 1
321,9 5
324,8 1
327,7 3
330,59999999999997 4
333,5 1
336,4 0
339,3 1
342,2 2
345,09999999999997 2
348 1
350,9 2
353,8 1
356,7 1
359,59999999999997 0
362,5 0
365,4 1
368,3 0
371,2 0
374,09999999999997 0
377 1
379,9 3
382,8 0
385,7 3
388,59999999999997 1
391,5 0
394,4 1
397,3 0
400,2 1
403,09999999999997 0
406 0
408,9 0
411,8 0
