Пористость  
75
Модуль Юнга
3,64
Предел упругости
0,131
Деформация предела упругости
0,036
Предел текучести
0,143
Деформация предела текучести
0,0445
Предел прочности
0,28
Деформация предела прочности
0,123
Распределение
8,7 218
11,6 175
14,5 171
17,4 169
20,3 122
23,2 118
26,099999999999998 145
29 100
31,9 133
34,8 109
37,699999999999996 100
40,6 102
43,5 117
46,4 122
49,3 107
52,199999999999996 118
55,1 132
58 98
60,9 102
63,8 115
66,7 82
69,6 90
72,5 97
75,39999999999999 88
78,3 84
81,2 83
84,1 97
87 86
89,89999999999999 74
92,8 78
95,7 94
98,6 57
101,5 72
104,39999999999999 72
107,3 74
110,2 66
113,1 66
116 80
118,89999999999999 77
121,8 54
124,7 57
127,6 65
130,5 65
133,4 59
136,29999999999998 67
139,2 66
142,1 50
145 41
147,9 60
150,79999999999998 52
153,7 45
156,6 41
159,5 49
162,4 58
165,29999999999998 39
168,2 45
171,1 40
174 44
176,9 37
179,79999999999998 35
182,7 29
185,6 34
188,5 29
191,4 28
194,29999999999998 30
197,2 34
200,1 32
203 24
205,9 14
208,79999999999998 15
211,7 30
214,6 24
217,5 16
220,4 22
223,29999999999998 36
226,2 18
229,1 19
232 20
234,9 15
237,79999999999998 20
240,7 9
243,6 20
246,5 18
249,4 21
252,29999999999998 15
255,2 17
258,09999999999997 12
261 11
263,9 8
266,8 12
269,7 15
272,59999999999997 10
275,5 15
278,4 11
281,3 9
284,2 9
287,09999999999997 13
290 13
292,9 16
295,8 15
298,7 14
301,59999999999997 13
304,5 9
307,4 9
310,3 6
313,2 7
316,09999999999997 14
319 12
321,9 5
324,8 4
327,7 13
330,59999999999997 7
333,5 10
336,4 9
339,3 4
342,2 7
345,09999999999997 7
348 10
350,9 6
353,8 2
356,7 5
359,59999999999997 3
362,5 5
365,4 1
368,3 6
371,2 6
374,09999999999997 6
377 8
379,9 8
382,8 3
385,7 5
388,59999999999997 2
391,5 4
394,4 4
397,3 4
400,2 1
