Пористость
50
Модуль Юнга
39
Предел упругости
0,57
Деформация предела упругости
0,0145
Предел текучести
1,06
Деформация предела текучести
0,0295
Предел прочности
2,01
Деформация предела прочности
0,34
Распределение
11,6 211
14,5 128
17,4 98
20,3 106
23,2 97
26,099999999999998 129
29 128
31,9 124
34,8 148
37,699999999999996 145
40,6 162
43,5 161
46,4 168
49,3 197
52,199999999999996 174
55,1 197
58 163
60,9 155
63,8 184
66,7 171
69,6 176
72,5 179
75,39999999999999 182
78,3 169
81,2 194
84,1 177
87 195
89,89999999999999 172
92,8 178
95,7 177
98,6 125
101,5 148
104,39999999999999 118
107,3 110
110,2 86
113,1 75
116 84
118,89999999999999 84
121,8 65
124,7 68
127,6 62
130,5 43
133,4 52
136,29999999999998 44
139,2 48
142,1 42
145 43
147,9 24
150,79999999999998 30
153,7 25
156,6 27
159,5 21
162,4 24
165,29999999999998 25
168,2 16
171,1 27
174 25
176,9 19
179,79999999999998 22
182,7 16
185,6 19
188,5 22
191,4 24
194,29999999999998 27
197,2 18
200,1 16
203 22
205,9 11
208,79999999999998 16
211,7 10
214,6 12
217,5 10
220,4 13
223,29999999999998 8
226,2 10
229,1 7
232 5
234,9 8
237,79999999999998 6
240,7 8
243,6 5
246,5 4
249,4 6
252,29999999999998 3
255,2 1
258,09999999999997 2
261 5
263,9 3
266,8 2
269,7 0
272,59999999999997 2
275,5 4
278,4 3
281,3 2
284,2 1
287,09999999999997 3
290 1
292,9 1
295,8 0
298,7 2
301,59999999999997 2
304,5 0
307,4 0
310,3 0
313,2 1
316,09999999999997 0
319 1
321,9 0
324,8 1
327,7 1
330,59999999999997 0
333,5 0
336,4 0
339,3 1
342,2 0
345,09999999999997 1
348 0
350,9 0
353,8 0
356,7 0
359,59999999999997 0
362,5 1
365,4 0
368,3 0
371,2 0
374,09999999999997 0
377 0
379,9 0
382,8 1
385,7 0
388,59999999999997 0
391,5 0
394,4 0
397,3 1
400,2 1
403,09999999999997 0
406 0
408,9 0
411,8 0
414,7 0
