Пористость
45
Модуль Юнга
28,7
Предел упругости
1,04
Деформация предела упругости
0,034
Предел текучести
1,21
Деформация предела текучести
0,044
Предел прочности
0,149
Деформация предела прочности
0,15
Распределение
11,6 436
14,5 377
17,4 308
20,3 317
23,2 288
26,099999999999998 247
29 215
31,9 222
34,8 201
37,699999999999996 231
40,6 174
43,5 183
46,4 190
49,3 181
52,199999999999996 213
55,1 182
58 187
60,9 161
63,8 155
66,7 166
69,6 129
72,5 149
75,39999999999999 132
78,3 112
81,2 108
84,1 93
87 112
89,89999999999999 105
92,8 85
95,7 95
98,6 91
101,5 91
104,39999999999999 69
107,3 108
110,2 90
113,1 87
116 94
118,89999999999999 76
121,8 48
124,7 68
127,6 60
130,5 52
133,4 53
136,29999999999998 56
139,2 39
142,1 36
145 43
147,9 40
150,79999999999998 35
153,7 27
156,6 34
159,5 29
162,4 24
165,29999999999998 23
168,2 33
171,1 33
174 23
176,9 28
179,79999999999998 28
182,7 16
185,6 23
188,5 24
191,4 13
194,29999999999998 24
197,2 27
200,1 14
203 10
205,9 13
208,79999999999998 14
211,7 16
214,6 9
217,5 8
220,4 11
223,29999999999998 8
226,2 4
229,1 7
232 3
234,9 6
237,79999999999998 5
240,7 5
243,6 2
246,5 3
249,4 6
252,29999999999998 4
255,2 3
258,09999999999997 6
261 1
263,9 4
266,8 6
269,7 5
272,59999999999997 2
275,5 2
278,4 6
281,3 7
284,2 2
287,09999999999997 5
290 2
292,9 1
295,8 1
298,7 2
301,59999999999997 6
304,5 4
307,4 1
310,3 0
313,2 1
316,09999999999997 0
319 0
321,9 1
324,8 4
327,7 0
330,59999999999997 0
333,5 0
336,4 0
339,3 0
342,2 0
345,09999999999997 2
348 0
350,9 0
353,8 0
356,7 1
359,59999999999997 1
362,5 0
365,4 1
368,3 0
371,2 0
374,09999999999997 0
377 0
379,9 1
382,8 0
385,7 0
388,59999999999997 0
391,5 0
394,4 1
397,3 1
400,2 0
403,09999999999997 0
406 0
408,9 1
411,8 0
414,7 1
417,59999999999997 0
