Пористость  
70
Модуль Юнга
17,4
Предел упругости
0,444
Деформация предела упругости
0,0255
Предел текучести
0,5
Деформация предела текучести
0,03
Предел прочности
0,765
Деформация предела прочности
0,115
Распределение
11,6 107
14,5 34
17,4 41
20,3 55
23,2 51
26,099999999999998 62
29 70
31,9 75
34,8 83
37,699999999999996 91
40,6 106
43,5 114
46,4 108
49,3 94
52,199999999999996 111
55,1 117
58 122
60,9 115
63,8 115
66,7 126
69,6 124
72,5 128
75,39999999999999 106
78,3 138
81,2 114
84,1 121
87 107
89,89999999999999 93
92,8 103
95,7 100
98,6 95
101,5 88
104,39999999999999 112
107,3 109
110,2 96
113,1 92
116 102
118,89999999999999 89
121,8 86
124,7 103
127,6 74
130,5 87
133,4 78
136,29999999999998 77
139,2 76
142,1 76
145 71
147,9 73
150,79999999999998 67
153,7 68
156,6 52
159,5 53
162,4 75
165,29999999999998 55
168,2 58
171,1 58
174 50
176,9 39
179,79999999999998 33
182,7 46
185,6 33
188,5 52
191,4 44
194,29999999999998 43
197,2 42
200,1 41
203 32
205,9 47
208,79999999999998 37
211,7 37
214,6 38
217,5 30
220,4 29
223,29999999999998 28
226,2 20
229,1 30
232 22
234,9 19
237,79999999999998 25
240,7 25
243,6 29
246,5 26
249,4 26
252,29999999999998 27
255,2 21
258,09999999999997 16
261 17
263,9 15
266,8 10
269,7 18
272,59999999999997 20
275,5 18
278,4 22
281,3 11
284,2 17
287,09999999999997 19
290 13
292,9 20
295,8 23
298,7 22
301,59999999999997 19
304,5 10
307,4 11
310,3 12
313,2 14
316,09999999999997 14
319 10
321,9 16
324,8 8
327,7 11
330,59999999999997 12
333,5 15
336,4 10
339,3 7
342,2 5
345,09999999999997 11
348 7
350,9 7
353,8 7
356,7 8
359,59999999999997 4
362,5 8
365,4 7
368,3 6
371,2 5
374,09999999999997 6
377 4
379,9 4
382,8 4
385,7 6
388,59999999999997 5
391,5 5
394,4 2
397,3 4
400,2 3
403,09999999999997 3
406 2
408,9 2
411,8 4
