Пористость  
60
Модуль Юнга
8,96
Предел упругости
0,554
Деформация предела упругости
0,052
Предел текучести
0,704
Деформация предела текучести
0,081
Предел прочности
0,789
Деформация предела прочности
0,109
Распределение
8,7 166
11,6 164
14,5 125
17,4 135
20,3 133
23,2 131
26,099999999999998 132
29 117
31,9 92
34,8 109
37,699999999999996 75
40,6 110
43,5 101
46,4 104
49,3 100
52,199999999999996 85
55,1 85
58 70
60,9 71
63,8 82
66,7 52
69,6 72
72,5 50
75,39999999999999 62
78,3 55
81,2 54
84,1 45
87 63
89,89999999999999 42
92,8 31
95,7 31
98,6 29
101,5 40
104,39999999999999 32
107,3 27
110,2 38
113,1 32
116 28
118,89999999999999 33
121,8 36
124,7 17
127,6 28
130,5 24
133,4 27
136,29999999999998 25
139,2 33
142,1 21
145 20
147,9 25
150,79999999999998 31
153,7 16
156,6 19
159,5 21
162,4 31
165,29999999999998 25
168,2 20
171,1 25
174 29
176,9 22
179,79999999999998 31
182,7 19
185,6 26
188,5 20
191,4 19
194,29999999999998 15
197,2 17
200,1 19
203 8
205,9 12
208,79999999999998 15
211,7 13
214,6 15
217,5 8
220,4 11
223,29999999999998 7
226,2 15
229,1 13
232 16
234,9 13
237,79999999999998 8
240,7 1
243,6 7
246,5 6
249,4 13
252,29999999999998 9
255,2 10
258,09999999999997 7
261 6
263,9 6
266,8 8
269,7 4
272,59999999999997 4
275,5 6
278,4 3
281,3 4
284,2 3
287,09999999999997 5
290 3
292,9 9
295,8 11
298,7 8
301,59999999999997 2
304,5 4
307,4 6
310,3 3
313,2 1
316,09999999999997 6
319 4
321,9 7
324,8 4
327,7 4
330,59999999999997 4
333,5 3
336,4 2
339,3 6
342,2 0
345,09999999999997 1
348 2
350,9 2
353,8 2
356,7 3
359,59999999999997 3
362,5 2
365,4 0
368,3 2
371,2 3
374,09999999999997 0
377 1
379,9 0
382,8 0
385,7 0
388,59999999999997 0
391,5 1
394,4 1
397,3 1
400,2 0
403,09999999999997 1
406 0
408,9 0
411,8 0
414,7 0
