Пористость
50
Модуль Юнга
34,5
Предел упругости
0,8
Деформация предела упругости
0,0255
Предел текучести
0,8
Деформация предела текучести
0,0255
Предел прочности
2,05
Деформация предела прочности
0,136
Распределение
8,7 99
11,6 42
14,5 26
17,4 39
20,3 43
23,2 44
26,099999999999998 64
29 77
31,9 73
34,8 68
37,699999999999996 91
40,6 109
43,5 124
46,4 109
49,3 156
52,199999999999996 128
55,1 168
58 155
60,9 186
63,8 176
66,7 189
69,6 192
72,5 191
75,39999999999999 194
78,3 249
81,2 228
84,1 189
87 195
89,89999999999999 159
92,8 140
95,7 111
98,6 98
101,5 82
104,39999999999999 73
107,3 81
110,2 86
113,1 60
116 70
118,89999999999999 68
121,8 56
124,7 72
127,6 61
130,5 49
133,4 54
136,29999999999998 37
139,2 42
142,1 40
145 36
147,9 29
150,79999999999998 45
153,7 26
156,6 32
159,5 37
162,4 30
165,29999999999998 23
168,2 21
171,1 28
174 18
176,9 18
179,79999999999998 17
182,7 21
185,6 18
188,5 17
191,4 16
194,29999999999998 15
197,2 19
200,1 14
203 9
205,9 8
208,79999999999998 14
211,7 6
214,6 12
217,5 11
220,4 10
223,29999999999998 6
226,2 10
229,1 12
232 10
234,9 6
237,79999999999998 6
240,7 9
243,6 4
246,5 7
249,4 4
252,29999999999998 6
255,2 3
258,09999999999997 1
261 4
263,9 3
266,8 2
269,7 1
272,59999999999997 1
275,5 6
278,4 1
281,3 0
284,2 4
287,09999999999997 1
290 1
292,9 4
295,8 0
298,7 2
301,59999999999997 4
304,5 2
307,4 1
310,3 0
313,2 2
316,09999999999997 2
319 1
321,9 2
324,8 0
327,7 1
330,59999999999997 0
333,5 0
336,4 0
339,3 0
342,2 2
345,09999999999997 0
348 0
350,9 1
353,8 1
356,7 0
359,59999999999997 0
362,5 0
365,4 0
368,3 0
371,2 0
374,09999999999997 1
377 1
379,9 1
382,8 0
385,7 2
388,59999999999997 1
391,5 0
394,4 0
397,3 0
400,2 0
403,09999999999997 0
406 0
408,9 0
411,8 0
414,7 0
