Пористость  
75
Модуль Юнга
7,2
Предел упругости
0,236
Деформация предела упругости
0,027
Предел текучести
0,36
Деформация предела текучести
0,051
Предел прочности
0,463
Деформация предела прочности
0,077
Распределение
8,7 33
11,6 20
14,5 9
17,4 8
20,3 13
23,2 8
26,099999999999998 15
29 8
31,9 14
34,8 17
37,699999999999996 21
40,6 26
43,5 23
46,4 22
49,3 25
52,199999999999996 34
55,1 37
58 48
60,9 39
63,8 34
66,7 51
69,6 60
72,5 44
75,39999999999999 67
78,3 76
81,2 68
84,1 53
87 71
89,89999999999999 55
92,8 54
95,7 54
98,6 39
101,5 36
104,39999999999999 36
107,3 26
110,2 32
113,1 32
116 31
118,89999999999999 33
121,8 25
124,7 29
127,6 21
130,5 27
133,4 20
136,29999999999998 21
139,2 29
142,1 14
145 27
147,9 29
150,79999999999998 13
153,7 21
156,6 24
159,5 14
162,4 15
165,29999999999998 17
168,2 13
171,1 14
174 16
176,9 20
179,79999999999998 9
182,7 13
185,6 11
188,5 6
191,4 14
194,29999999999998 28
197,2 19
200,1 16
203 21
205,9 23
208,79999999999998 16
211,7 12
214,6 18
217,5 20
220,4 11
223,29999999999998 9
226,2 11
229,1 7
232 10
234,9 6
237,79999999999998 5
240,7 5
243,6 9
246,5 5
249,4 4
252,29999999999998 5
255,2 8
258,09999999999997 2
261 3
263,9 5
266,8 3
269,7 8
272,59999999999997 3
275,5 2
278,4 7
281,3 6
284,2 2
287,09999999999997 2
290 4
292,9 4
295,8 5
298,7 4
301,59999999999997 2
304,5 3
307,4 2
310,3 3
313,2 3
316,09999999999997 4
319 6
321,9 2
324,8 2
327,7 8
330,59999999999997 5
333,5 2
336,4 2
339,3 3
342,2 6
345,09999999999997 3
348 2
350,9 4
353,8 2
356,7 1
359,59999999999997 3
362,5 1
365,4 0
368,3 1
371,2 0
374,09999999999997 5
377 5
379,9 3
382,8 0
385,7 3
388,59999999999997 5
391,5 0
394,4 2
397,3 1
400,2 1
403,09999999999997 2
406 1
