Пористость  
75
Модуль Юнга
5,68
Предел упругости
0,32
Деформация предела упругости
0,0535
Предел текучести
0,34
Деформация предела текучести
0,059
Предел прочности
0,666
Деформация предела прочности
0,249
Распределение
8,7 21
11,6 4
14,5 1
17,4 2
20,3 6
23,2 11
26,099999999999998 11
29 11
31,9 7
34,8 6
37,699999999999996 18
40,6 12
43,5 24
46,4 17
49,3 16
52,199999999999996 20
55,1 32
58 24
60,9 35
63,8 26
66,7 30
69,6 39
72,5 35
75,39999999999999 35
78,3 34
81,2 37
84,1 50
87 55
89,89999999999999 65
92,8 63
95,7 50
98,6 46
101,5 58
104,39999999999999 41
107,3 31
110,2 19
113,1 35
116 43
118,89999999999999 32
121,8 25
124,7 22
127,6 24
130,5 19
133,4 15
136,29999999999998 20
139,2 27
142,1 12
145 19
147,9 17
150,79999999999998 16
153,7 20
156,6 17
159,5 17
162,4 14
165,29999999999998 14
168,2 16
171,1 13
174 15
176,9 17
179,79999999999998 19
182,7 16
185,6 21
188,5 13
191,4 11
194,29999999999998 20
197,2 17
200,1 14
203 10
205,9 17
208,79999999999998 11
211,7 6
214,6 8
217,5 17
220,4 6
223,29999999999998 3
226,2 12
229,1 9
232 8
234,9 6
237,79999999999998 8
240,7 12
243,6 5
246,5 8
249,4 5
252,29999999999998 6
255,2 6
258,09999999999997 8
261 4
263,9 11
266,8 9
269,7 8
272,59999999999997 6
275,5 3
278,4 2
281,3 11
284,2 7
287,09999999999997 7
290 4
292,9 4
295,8 8
298,7 3
301,59999999999997 5
304,5 7
307,4 4
310,3 6
313,2 5
316,09999999999997 5
319 2
321,9 1
324,8 4
327,7 4
330,59999999999997 3
333,5 2
336,4 1
339,3 3
342,2 1
345,09999999999997 3
348 1
350,9 0
353,8 1
356,7 3
359,59999999999997 5
362,5 2
365,4 1
368,3 2
371,2 3
374,09999999999997 2
377 1
379,9 3
382,8 1
385,7 0
388,59999999999997 1
391,5 0
394,4 1
397,3 1
400,2 1
403,09999999999997 1
406 2
408,9 1
