Пористость  
75
Модуль Юнга
2,6
Предел упругости
0,193
Деформация предела упругости
0,067
Предел текучести
0,25
Деформация предела текучести
0,09
Предел прочности
0,43
Деформация предела прочности
0,276
Распределение
8,7 207
11,6 208
14,5 210
17,4 159
20,3 168
23,2 128
26,099999999999998 139
29 109
31,9 102
34,8 90
37,699999999999996 77
40,6 84
43,5 79
46,4 69
49,3 77
52,199999999999996 77
55,1 67
58 73
60,9 81
63,8 67
66,7 60
69,6 86
72,5 72
75,39999999999999 73
78,3 75
81,2 58
84,1 68
87 75
89,89999999999999 72
92,8 70
95,7 62
98,6 63
101,5 63
104,39999999999999 83
107,3 74
110,2 64
113,1 65
116 75
118,89999999999999 60
121,8 67
124,7 55
127,6 64
130,5 54
133,4 71
136,29999999999998 56
139,2 61
142,1 55
145 48
147,9 51
150,79999999999998 56
153,7 52
156,6 55
159,5 55
162,4 60
165,29999999999998 51
168,2 57
171,1 54
174 48
176,9 47
179,79999999999998 40
182,7 48
185,6 42
188,5 38
191,4 35
194,29999999999998 28
197,2 37
200,1 34
203 33
205,9 29
208,79999999999998 38
211,7 24
214,6 32
217,5 22
220,4 17
223,29999999999998 23
226,2 15
229,1 31
232 28
234,9 25
237,79999999999998 24
240,7 21
243,6 23
246,5 24
249,4 26
252,29999999999998 18
255,2 20
258,09999999999997 18
261 24
263,9 22
266,8 23
269,7 21
272,59999999999997 13
275,5 22
278,4 14
281,3 10
284,2 15
287,09999999999997 16
290 15
292,9 16
295,8 15
298,7 20
301,59999999999997 20
304,5 20
307,4 14
310,3 10
313,2 12
316,09999999999997 14
319 14
321,9 10
324,8 11
327,7 11
330,59999999999997 15
333,5 7
336,4 11
339,3 11
342,2 7
345,09999999999997 12
348 13
350,9 7
353,8 11
356,7 4
359,59999999999997 14
362,5 10
365,4 8
368,3 9
371,2 7
374,09999999999997 5
377 10
379,9 4
382,8 8
385,7 7
388,59999999999997 3
391,5 8
394,4 8
397,3 3
400,2 6
403,09999999999997 6
406 3
408,9 1
411,8 10
