Пористость  
70
Модуль Юнга
8,7
Предел упругости
0,3
Деформация предела упругости
0,0345
Предел текучести
0,31
Деформация предела текучести
0,037
Предел прочности
0,559
Деформация предела прочности
0,17
Распределение
5,8 133
8,7 565
11,6 598
14,5 520
17,4 486
20,3 504
23,2 454
26,099999999999998 473
29 473
31,9 455
34,8 384
37,699999999999996 400
40,6 344
43,5 327
46,4 332
49,3 329
52,199999999999996 325
55,1 279
58 252
60,9 276
63,8 237
66,7 266
69,6 248
72,5 234
75,39999999999999 203
78,3 217
81,2 215
84,1 193
87 188
89,89999999999999 193
92,8 171
95,7 151
98,6 136
101,5 138
104,39999999999999 149
107,3 132
110,2 130
113,1 119
116 101
118,89999999999999 115
121,8 117
124,7 112
127,6 78
130,5 81
133,4 89
136,29999999999998 75
139,2 65
142,1 61
145 66
147,9 60
150,79999999999998 65
153,7 81
156,6 62
159,5 43
162,4 45
165,29999999999998 46
168,2 45
171,1 39
174 44
176,9 44
179,79999999999998 38
182,7 36
185,6 26
188,5 26
191,4 24
194,29999999999998 26
197,2 31
200,1 25
203 17
205,9 25
208,79999999999998 24
211,7 19
214,6 19
217,5 11
220,4 9
223,29999999999998 14
226,2 11
229,1 4
232 6
234,9 11
237,79999999999998 10
240,7 9
243,6 6
246,5 13
249,4 7
252,29999999999998 8
255,2 6
258,09999999999997 3
261 6
263,9 5
266,8 4
269,7 5
272,59999999999997 2
275,5 5
278,4 7
281,3 2
284,2 2
287,09999999999997 1
290 2
292,9 4
295,8 1
298,7 0
301,59999999999997 4
304,5 4
307,4 2
310,3 2
313,2 2
316,09999999999997 2
319 3
321,9 0
324,8 1
327,7 1
330,59999999999997 0
333,5 2
336,4 1
339,3 0
342,2 3
345,09999999999997 0
348 1
350,9 2
353,8 0
356,7 0
359,59999999999997 0
362,5 3
365,4 2
368,3 2
371,2 0
374,09999999999997 0
377 0
379,9 1
382,8 1
385,7 0
388,59999999999997 0
391,5 0
394,4 0
397,3 0
400,2 0
403,09999999999997 1
406 0
408,9 1
411,8 0
