Пористость
45
Модуль Юнга
35,8
Предел упругости
0,967
Деформация предела упругости
0,027
Предел текучести
1,24
Деформация предела текучести
0,036
Предел прочности
1,685
Деформация предела прочности
0,655
Распределение
5,8 165
8,7 539
11,6 499
14,5 505
17,4 481
20,3 533
23,2 491
26,099999999999998 515
29 523
31,9 493
34,8 479
37,699999999999996 453
40,6 496
43,5 503
46,4 426
49,3 422
52,199999999999996 424
55,1 430
58 362
60,9 362
63,8 358
66,7 358
69,6 297
72,5 312
75,39999999999999 297
78,3 280
81,2 281
84,1 252
87 268
89,89999999999999 208
92,8 207
95,7 235
98,6 230
101,5 228
104,39999999999999 192
107,3 191
110,2 199
113,1 209
116 172
118,89999999999999 192
121,8 156
124,7 147
127,6 150
130,5 163
133,4 136
136,29999999999998 146
139,2 119
142,1 142
145 127
147,9 114
150,79999999999998 108
153,7 112
156,6 113
159,5 108
162,4 91
165,29999999999998 80
168,2 89
171,1 91
174 84
176,9 75
179,79999999999998 81
182,7 67
185,6 61
188,5 66
191,4 72
194,29999999999998 68
197,2 57
200,1 44
203 62
205,9 59
208,79999999999998 61
211,7 46
214,6 51
217,5 50
220,4 38
223,29999999999998 42
226,2 41
229,1 49
232 33
234,9 32
237,79999999999998 45
240,7 31
243,6 37
246,5 24
249,4 36
252,29999999999998 23
255,2 25
258,09999999999997 31
261 15
263,9 17
266,8 22
269,7 21
272,59999999999997 18
275,5 22
278,4 20
281,3 15
284,2 15
287,09999999999997 17
290 20
292,9 16
295,8 10
298,7 15
301,59999999999997 13
304,5 14
307,4 13
310,3 14
313,2 15
316,09999999999997 13
319 11
321,9 7
324,8 10
327,7 9
330,59999999999997 6
333,5 9
336,4 8
339,3 8
342,2 4
345,09999999999997 4
348 4
350,9 6
353,8 4
356,7 5
359,59999999999997 7
362,5 3
365,4 6
368,3 5
371,2 6
374,09999999999997 3
377 4
379,9 5
382,8 2
385,7 4
388,59999999999997 3
391,5 7
394,4 4
397,3 6
400,2 5
403,09999999999997 2
406 4
408,9 1
411,8 7
414,7 3
417,59999999999997 1
