Пористость
50
Модуль Юнга
39
Предел упругости
1,078
Деформация предела упругости
0,025
Предел текучести
1,44
Деформация предела текучести
0,039
Предел прочности
2,32
Деформация предела прочности
0,2
Распределение
5,8 91
8,7 481
11,6 475
14,5 415
17,4 451
20,3 449
23,2 421
26,099999999999998 423
29 395
31,9 346
34,8 380
37,699999999999996 387
40,6 323
43,5 300
46,4 326
49,3 320
52,199999999999996 300
55,1 294
58 287
60,9 284
63,8 283
66,7 283
69,6 269
72,5 263
75,39999999999999 250
78,3 235
81,2 213
84,1 252
87 218
89,89999999999999 235
92,8 220
95,7 196
98,6 197
101,5 179
104,39999999999999 187
107,3 197
110,2 148
113,1 167
116 171
118,89999999999999 167
121,8 157
124,7 133
127,6 151
130,5 138
133,4 124
136,29999999999998 129
139,2 126
142,1 124
145 128
147,9 122
150,79999999999998 96
153,7 94
156,6 91
159,5 88
162,4 110
165,29999999999998 79
168,2 90
171,1 96
174 78
176,9 87
179,79999999999998 90
182,7 64
185,6 88
188,5 61
191,4 62
194,29999999999998 73
197,2 60
200,1 79
203 76
205,9 65
208,79999999999998 53
211,7 68
214,6 66
217,5 51
220,4 43
223,29999999999998 50
226,2 34
229,1 45
232 28
234,9 42
237,79999999999998 29
240,7 27
243,6 46
246,5 28
249,4 38
252,29999999999998 36
255,2 27
258,09999999999997 32
261 40
263,9 21
266,8 24
269,7 35
272,59999999999997 13
275,5 28
278,4 25
281,3 21
284,2 24
287,09999999999997 27
290 12
292,9 25
295,8 12
298,7 14
301,59999999999997 17
304,5 18
307,4 15
310,3 19
313,2 18
316,09999999999997 14
319 19
321,9 14
324,8 14
327,7 13
330,59999999999997 14
333,5 15
336,4 15
339,3 12
342,2 7
345,09999999999997 10
348 4
350,9 10
353,8 13
356,7 13
359,59999999999997 4
362,5 9
365,4 7
368,3 3
371,2 8
374,09999999999997 6
377 7
379,9 6
382,8 6
385,7 4
388,59999999999997 8
391,5 6
394,4 7
397,3 3
400,2 9
403,09999999999997 5
406 7
408,9 5
411,8 3
414,7 6
