Пористость  
75
Модуль Юнга
7,14
Предел упругости
0,174
Деформация предела упругости
0,0215
Предел текучести
0,232
Деформация предела текучести
0,0345
Предел прочности
0,43
Деформация предела прочности
0,095
Распределение
5,8 148
8,7 904
11,6 950
14,5 876
17,4 819
20,3 793
23,2 703
26,099999999999998 720
29 680
31,9 624
34,8 581
37,699999999999996 548
40,6 498
43,5 492
46,4 438
49,3 397
52,199999999999996 381
55,1 329
58 347
60,9 322
63,8 307
66,7 304
69,6 264
72,5 282
75,39999999999999 254
78,3 209
81,2 223
84,1 192
87 215
89,89999999999999 165
92,8 140
95,7 148
98,6 144
101,5 113
104,39999999999999 102
107,3 109
110,2 97
113,1 73
116 103
118,89999999999999 74
121,8 66
124,7 61
127,6 55
130,5 63
133,4 54
136,29999999999998 46
139,2 60
142,1 43
145 43
147,9 43
150,79999999999998 37
153,7 34
156,6 33
159,5 38
162,4 22
165,29999999999998 23
168,2 16
171,1 18
174 19
176,9 20
179,79999999999998 20
182,7 21
185,6 11
188,5 15
191,4 18
194,29999999999998 18
197,2 12
200,1 11
203 9
205,9 8
208,79999999999998 8
211,7 8
214,6 4
217,5 6
220,4 9
223,29999999999998 7
226,2 4
229,1 6
232 4
234,9 4
237,79999999999998 6
240,7 4
243,6 5
246,5 2
249,4 1
252,29999999999998 5
255,2 2
258,09999999999997 3
261 2
263,9 4
266,8 1
269,7 2
272,59999999999997 4
275,5 1
278,4 3
281,3 0
284,2 2
287,09999999999997 0
290 1
292,9 0
295,8 2
298,7 0
301,59999999999997 0
304,5 1
307,4 0
310,3 0
313,2 1
316,09999999999997 0
319 0
321,9 1
324,8 0
327,7 0
330,59999999999997 0
333,5 1
336,4 0
339,3 0
342,2 0
345,09999999999997 0
348 0
350,9 0
353,8 0
356,7 0
359,59999999999997 0
362,5 1
365,4 0
368,3 0
371,2 0
374,09999999999997 0
377 0
379,9 2
382,8 1
385,7 0
388,59999999999997 0
391,5 0
394,4 0
397,3 0
400,2 0
403,09999999999997 0
406 1
