Пористость  
60
Модуль Юнга
7,64
Предел упругости
0,67
Деформация предела упругости
0,074
Предел текучести
0,77
Деформация предела текучести
0,1
Предел прочности
0,978
Деформация предела прочности
0,256
Распределение
5,8 568
8,7 1552
11,6 1661
14,5 1640
17,4 1625
20,3 1663
23,2 1573
26,099999999999998 1596
29 1537
31,9 1472
34,8 1450
37,699999999999996 1464
40,6 1394
43,5 1250
46,4 1350
49,3 1194
52,199999999999996 1067
55,1 1055
58 1001
60,9 952
63,8 876
66,7 842
69,6 754
72,5 710
75,39999999999999 663
78,3 639
81,2 590
84,1 573
87 543
89,89999999999999 498
92,8 471
95,7 474
98,6 410
101,5 390
104,39999999999999 361
107,3 368
110,2 333
113,1 332
116 274
118,89999999999999 268
121,8 276
124,7 277
127,6 238
130,5 201
133,4 174
136,29999999999998 167
139,2 176
142,1 149
145 166
147,9 130
150,79999999999998 119
153,7 119
156,6 133
159,5 105
162,4 105
165,29999999999998 85
168,2 88
171,1 80
174 86
176,9 75
179,79999999999998 66
182,7 53
185,6 53
188,5 59
191,4 47
194,29999999999998 61
197,2 54
200,1 42
203 50
205,9 48
208,79999999999998 46
211,7 39
214,6 30
217,5 40
220,4 35
223,29999999999998 23
226,2 25
229,1 20
232 18
234,9 20
237,79999999999998 29
240,7 17
243,6 28
246,5 18
249,4 14
252,29999999999998 19
255,2 6
258,09999999999997 10
261 6
263,9 8
266,8 9
269,7 5
272,59999999999997 6
275,5 10
278,4 3
281,3 8
284,2 5
287,09999999999997 11
290 2
292,9 2
295,8 6
298,7 3
301,59999999999997 5
304,5 5
307,4 5
310,3 4
313,2 4
316,09999999999997 2
319 5
321,9 1
324,8 0
327,7 1
330,59999999999997 2
333,5 2
336,4 2
339,3 4
342,2 1
345,09999999999997 3
348 1
350,9 2
353,8 0
356,7 1
359,59999999999997 0
362,5 1
365,4 1
368,3 2
371,2 0
374,09999999999997 1
377 0
379,9 3
382,8 0
385,7 0
388,59999999999997 0
391,5 0
394,4 0
397,3 0
400,2 0
403,09999999999997 0
406 0
408,9 0
411,8 0
