Пористость  
60
Модуль Юнга
8,96
Предел упругости
0,554
Деформация предела упругости
0,052
Предел текучести
0,704
Деформация предела текучести
0,081
Предел прочности
0,789
Деформация предела прочности
0,109
Распределение
5,8 551
8,7 1651
11,6 1730
14,5 1686
17,4 1749
20,3 1782
23,2 1681
26,099999999999998 1701
29 1648
31,9 1678
34,8 1585
37,699999999999996 1513
40,6 1441
43,5 1419
46,4 1299
49,3 1211
52,199999999999996 1072
55,1 1001
58 939
60,9 868
63,8 801
66,7 793
69,6 728
72,5 735
75,39999999999999 635
78,3 603
81,2 611
84,1 562
87 503
89,89999999999999 487
92,8 437
95,7 429
98,6 399
101,5 377
104,39999999999999 390
107,3 358
110,2 354
113,1 315
116 274
118,89999999999999 280
121,8 308
124,7 233
127,6 235
130,5 214
133,4 230
136,29999999999998 230
139,2 202
142,1 157
145 150
147,9 146
150,79999999999998 124
153,7 147
156,6 123
159,5 108
162,4 107
165,29999999999998 99
168,2 86
171,1 89
174 72
176,9 85
179,79999999999998 73
182,7 46
185,6 62
188,5 53
191,4 56
194,29999999999998 53
197,2 45
200,1 45
203 54
205,9 38
208,79999999999998 36
211,7 43
214,6 42
217,5 44
220,4 42
223,29999999999998 37
226,2 20
229,1 22
232 26
234,9 31
237,79999999999998 20
240,7 19
243,6 13
246,5 14
249,4 11
252,29999999999998 17
255,2 13
258,09999999999997 7
261 12
263,9 11
266,8 4
269,7 12
272,59999999999997 10
275,5 6
278,4 1
281,3 7
284,2 10
287,09999999999997 7
290 3
292,9 6
295,8 2
298,7 3
301,59999999999997 2
304,5 6
307,4 2
310,3 2
313,2 7
316,09999999999997 4
319 2
321,9 2
324,8 4
327,7 2
330,59999999999997 0
333,5 0
336,4 0
339,3 1
342,2 1
345,09999999999997 0
348 3
350,9 0
353,8 1
356,7 1
359,59999999999997 5
362,5 1
365,4 0
368,3 2
371,2 0
374,09999999999997 1
377 0
379,9 0
382,8 2
385,7 0
388,59999999999997 0
391,5 1
394,4 3
397,3 1
400,2 0
403,09999999999997 1
406 0
408,9 0
411,8 0
414,7 0
