Пористость  
75
Модуль Юнга
3,11
Предел упругости
0,143
Деформация предела упругости
0,0385
Предел текучести
0,17
Деформация предела текучести
0,0545
Предел прочности
0,375
Деформация предела прочности
0,285
Распределение
5,8 28
8,7 1460
11,6 973
14,5 777
17,4 668
20,3 692
23,2 628
26,099999999999998 644
29 646
31,9 686
34,8 660
37,699999999999996 738
40,6 778
43,5 680
46,4 637
49,3 546
52,199999999999996 499
55,1 490
58 440
60,9 361
63,8 373
66,7 294
69,6 276
72,5 257
75,39999999999999 212
78,3 239
81,2 214
84,1 218
87 169
89,89999999999999 187
92,8 131
95,7 155
98,6 135
101,5 122
104,39999999999999 124
107,3 103
110,2 110
113,1 97
116 100
118,89999999999999 83
121,8 83
124,7 72
127,6 61
130,5 50
133,4 54
136,29999999999998 43
139,2 46
142,1 31
145 35
147,9 37
150,79999999999998 43
153,7 25
156,6 19
159,5 31
162,4 27
165,29999999999998 23
168,2 22
171,1 17
174 21
176,9 23
179,79999999999998 18
182,7 13
185,6 5
188,5 10
191,4 4
194,29999999999998 9
197,2 8
200,1 12
203 5
205,9 5
208,79999999999998 2
211,7 7
214,6 3
217,5 1
220,4 3
223,29999999999998 2
226,2 5
229,1 1
232 0
234,9 2
237,79999999999998 3
240,7 1
243,6 1
246,5 2
249,4 1
252,29999999999998 1
255,2 0
258,09999999999997 0
261 0
263,9 0
266,8 1
269,7 0
272,59999999999997 0
275,5 1
278,4 0
281,3 0
284,2 1
287,09999999999997 0
290 0
292,9 0
295,8 1
298,7 1
301,59999999999997 0
304,5 0
307,4 0
310,3 0
313,2 0
316,09999999999997 0
319 0
321,9 0
324,8 0
327,7 0
330,59999999999997 0
333,5 0
336,4 0
339,3 0
342,2 0
345,09999999999997 0
348 0
350,9 0
353,8 1
356,7 0
359,59999999999997 0
362,5 0
365,4 0
368,3 0
371,2 0
374,09999999999997 0
377 0
379,9 1
382,8 0
385,7 0
388,59999999999997 0
391,5 0
394,4 0
397,3 0
400,2 0
403,09999999999997 0
406 0
408,9 0
