Пористость
50
Модуль Юнга
21,3
Предел упругости
0,554
Деформация предела упругости
0,023
Предел текучести
0,73
Деформация предела текучести
0,036
Предел прочности
1,16
Деформация предела прочности
0,103
Распределение
5,8 109
8,7 595
11,6 652
14,5 609
17,4 621
20,3 647
23,2 593
26,099999999999998 605
29 612
31,9 559
34,8 600
37,699999999999996 569
40,6 536
43,5 457
46,4 525
49,3 507
52,199999999999996 447
55,1 443
58 375
60,9 381
63,8 350
66,7 322
69,6 346
72,5 339
75,39999999999999 306
78,3 270
81,2 280
84,1 248
87 251
89,89999999999999 218
92,8 241
95,7 225
98,6 214
101,5 214
104,39999999999999 219
107,3 177
110,2 188
113,1 148
116 189
118,89999999999999 164
121,8 148
124,7 159
127,6 150
130,5 136
133,4 120
136,29999999999998 129
139,2 129
142,1 113
145 119
147,9 105
150,79999999999998 123
153,7 102
156,6 96
159,5 75
162,4 80
165,29999999999998 93
168,2 89
171,1 85
174 71
176,9 63
179,79999999999998 60
182,7 69
185,6 60
188,5 53
191,4 64
194,29999999999998 46
197,2 56
200,1 50
203 49
205,9 40
208,79999999999998 46
211,7 45
214,6 35
217,5 27
220,4 34
223,29999999999998 38
226,2 35
229,1 36
232 32
234,9 37
237,79999999999998 25
240,7 21
243,6 19
246,5 26
249,4 23
252,29999999999998 13
255,2 24
258,09999999999997 13
261 12
263,9 17
266,8 15
269,7 18
272,59999999999997 11
275,5 11
278,4 14
281,3 14
284,2 13
287,09999999999997 11
290 9
292,9 10
295,8 13
298,7 8
301,59999999999997 10
304,5 7
307,4 4
310,3 9
313,2 7
316,09999999999997 7
319 4
321,9 1
324,8 3
327,7 10
330,59999999999997 7
333,5 5
336,4 8
339,3 7
342,2 3
345,09999999999997 5
348 0
350,9 4
353,8 3
356,7 4
359,59999999999997 2
362,5 4
365,4 1
368,3 6
371,2 2
374,09999999999997 5
377 2
379,9 1
382,8 4
385,7 3
388,59999999999997 3
391,5 4
394,4 2
397,3 2
400,2 2
403,09999999999997 1
406 3
408,9 0
411,8 1
414,7 1
