Пористость  
60
Модуль Юнга
3,25
Предел упругости
0,347
Деформация предела упругости
0,08
Предел текучести
0,384
Деформация предела текучести
0,107
Предел прочности
0,425
Деформация предела прочности
0,16
Распределение
5,8 564
8,7 1612
11,6 1803
14,5 1661
17,4 1732
20,3 1720
23,2 1738
26,099999999999998 1600
29 1584
31,9 1499
34,8 1512
37,699999999999996 1463
40,6 1358
43,5 1254
46,4 1151
49,3 1044
52,199999999999996 1006
55,1 920
58 874
60,9 848
63,8 811
66,7 744
69,6 725
72,5 655
75,39999999999999 640
78,3 614
81,2 531
84,1 556
87 490
89,89999999999999 481
92,8 440
95,7 450
98,6 407
101,5 408
104,39999999999999 350
107,3 393
110,2 319
113,1 342
116 298
118,89999999999999 280
121,8 277
124,7 221
127,6 253
130,5 202
133,4 205
136,29999999999998 196
139,2 173
142,1 145
145 158
147,9 157
150,79999999999998 151
153,7 113
156,6 116
159,5 131
162,4 124
165,29999999999998 113
168,2 89
171,1 100
174 82
176,9 75
179,79999999999998 72
182,7 71
185,6 81
188,5 53
191,4 68
194,29999999999998 47
197,2 49
200,1 53
203 44
205,9 40
208,79999999999998 38
211,7 45
214,6 36
217,5 46
220,4 35
223,29999999999998 32
226,2 35
229,1 16
232 24
234,9 36
237,79999999999998 22
240,7 24
243,6 24
246,5 21
249,4 20
252,29999999999998 22
255,2 20
258,09999999999997 18
261 24
263,9 14
266,8 11
269,7 10
272,59999999999997 8
275,5 13
278,4 5
281,3 8
284,2 15
287,09999999999997 12
290 9
292,9 4
295,8 7
298,7 10
301,59999999999997 7
304,5 2
307,4 2
310,3 5
313,2 4
316,09999999999997 2
319 2
321,9 1
324,8 0
327,7 1
330,59999999999997 2
333,5 0
336,4 1
339,3 1
342,2 0
345,09999999999997 3
348 0
350,9 2
353,8 1
356,7 1
359,59999999999997 2
362,5 1
365,4 0
368,3 2
371,2 1
374,09999999999997 0
377 0
379,9 1
382,8 1
385,7 0
388,59999999999997 1
391,5 0
394,4 0
397,3 0
400,2 0
403,09999999999997 0
406 0
408,9 0
411,8 0
414,7 1
417,59999999999997 1
