Пористость  
75
Модуль Юнга
3,3
Предел упругости
0,21
Деформация предела упругости
0,058
Предел текучести
0,25
Деформация предела текучести
0,076
Предел прочности
0,339
Деформация предела прочности
0,16
Распределение
5,8 109
8,7 761
11,6 802
14,5 795
17,4 782
20,3 804
23,2 799
26,099999999999998 753
29 676
31,9 690
34,8 666
37,699999999999996 609
40,6 602
43,5 557
46,4 456
49,3 437
52,199999999999996 400
55,1 331
58 310
60,9 305
63,8 260
66,7 259
69,6 240
72,5 217
75,39999999999999 194
78,3 183
81,2 151
84,1 141
87 126
89,89999999999999 147
92,8 140
95,7 108
98,6 87
101,5 91
104,39999999999999 64
107,3 63
110,2 88
113,1 53
116 56
118,89999999999999 62
121,8 45
124,7 49
127,6 41
130,5 47
133,4 42
136,29999999999998 45
139,2 43
142,1 35
145 26
147,9 24
150,79999999999998 24
153,7 24
156,6 22
159,5 14
162,4 20
165,29999999999998 17
168,2 21
171,1 14
174 12
176,9 7
179,79999999999998 22
182,7 9
185,6 13
188,5 11
191,4 9
194,29999999999998 12
197,2 6
200,1 7
203 6
205,9 10
208,79999999999998 8
211,7 2
214,6 7
217,5 4
220,4 8
223,29999999999998 4
226,2 2
229,1 4
232 5
234,9 3
237,79999999999998 5
240,7 1
243,6 2
246,5 1
249,4 3
252,29999999999998 0
255,2 3
258,09999999999997 1
261 0
263,9 2
266,8 2
269,7 1
272,59999999999997 0
275,5 0
278,4 2
281,3 1
284,2 1
287,09999999999997 0
290 0
292,9 0
295,8 2
298,7 0
301,59999999999997 0
304,5 1
307,4 1
310,3 0
313,2 0
316,09999999999997 0
319 1
321,9 0
324,8 0
327,7 0
330,59999999999997 0
333,5 0
336,4 2
339,3 0
342,2 0
345,09999999999997 0
348 0
350,9 0
353,8 0
356,7 0
359,59999999999997 0
362,5 0
365,4 0
368,3 0
371,2 1
374,09999999999997 0
377 0
379,9 0
382,8 0
385,7 0
388,59999999999997 0
391,5 0
394,4 0
397,3 0
400,2 0
403,09999999999997 0
406 0
408,9 0
411,8 0
