Пористость  
75
Модуль Юнга
1,92
Предел упругости
0,169
Деформация предела упругости
0,08
Предел текучести
0,188
Деформация предела текучести
0,1
Предел прочности
0,217
Деформация предела прочности
0,121
Распределение
5,8 21
8,7 1507
11,6 977
14,5 765
17,4 746
20,3 617
23,2 605
26,099999999999998 614
29 621
31,9 712
34,8 745
37,699999999999996 754
40,6 802
43,5 747
46,4 625
49,3 535
52,199999999999996 448
55,1 393
58 373
60,9 271
63,8 325
66,7 279
69,6 294
72,5 251
75,39999999999999 243
78,3 237
81,2 207
84,1 202
87 204
89,89999999999999 158
92,8 177
95,7 148
98,6 132
101,5 130
104,39999999999999 117
107,3 103
110,2 111
113,1 84
116 92
118,89999999999999 76
121,8 87
124,7 63
127,6 55
130,5 62
133,4 54
136,29999999999998 44
139,2 34
142,1 40
145 44
147,9 30
150,79999999999998 21
153,7 29
156,6 27
159,5 24
162,4 22
165,29999999999998 19
168,2 19
171,1 12
174 15
176,9 24
179,79999999999998 17
182,7 10
185,6 9
188,5 17
191,4 9
194,29999999999998 11
197,2 11
200,1 8
203 5
205,9 8
208,79999999999998 6
211,7 4
214,6 7
217,5 2
220,4 2
223,29999999999998 1
226,2 5
229,1 5
232 4
234,9 3
237,79999999999998 0
240,7 4
243,6 2
246,5 1
249,4 2
252,29999999999998 2
255,2 1
258,09999999999997 2
261 2
263,9 0
266,8 0
269,7 0
272,59999999999997 2
275,5 0
278,4 1
281,3 1
284,2 4
287,09999999999997 1
290 0
292,9 1
295,8 1
298,7 0
301,59999999999997 0
304,5 0
307,4 0
310,3 0
313,2 0
316,09999999999997 0
319 0
321,9 0
324,8 0
327,7 0
330,59999999999997 0
333,5 0
336,4 0
339,3 0
342,2 0
345,09999999999997 0
348 1
350,9 0
353,8 0
356,7 0
359,59999999999997 0
362,5 0
365,4 0
368,3 0
371,2 0
374,09999999999997 0
377 0
379,9 0
382,8 0
385,7 0
388,59999999999997 0
391,5 0
394,4 0
397,3 0
400,2 0
403,09999999999997 0
406 0
