Пористость
50
Модуль Юнга
38,5
Предел упругости
0,52
Деформация предела упругости
0,0135
Предел текучести
0,8
Деформация предела текучести
0,023
Предел прочности
1,4
Деформация предела прочности
0,073
Распределение
5,8 661
8,7 1342
11,6 819
14,5 534
17,4 461
20,3 374
23,2 344
26,099999999999998 297
29 293
31,9 289
34,8 296
37,699999999999996 282
40,6 293
43,5 289
46,4 306
49,3 284
52,199999999999996 271
55,1 260
58 259
60,9 263
63,8 232
66,7 247
69,6 225
72,5 235
75,39999999999999 222
78,3 184
81,2 232
84,1 190
87 196
89,89999999999999 172
92,8 175
95,7 156
98,6 180
101,5 161
104,39999999999999 175
107,3 141
110,2 143
113,1 158
116 176
118,89999999999999 130
121,8 150
124,7 144
127,6 129
130,5 151
133,4 142
136,29999999999998 133
139,2 145
142,1 121
145 131
147,9 121
150,79999999999998 112
153,7 104
156,6 115
159,5 113
162,4 111
165,29999999999998 113
168,2 98
171,1 116
174 102
176,9 105
179,79999999999998 83
182,7 111
185,6 94
188,5 86
191,4 99
194,29999999999998 89
197,2 76
200,1 79
203 62
205,9 60
208,79999999999998 73
211,7 66
214,6 63
217,5 60
220,4 67
223,29999999999998 73
226,2 68
229,1 54
232 63
234,9 53
237,79999999999998 49
240,7 44
243,6 63
246,5 46
249,4 45
252,29999999999998 38
255,2 39
258,09999999999997 56
261 54
263,9 28
266,8 36
269,7 36
272,59999999999997 36
275,5 40
278,4 25
281,3 37
284,2 29
287,09999999999997 24
290 23
292,9 35
295,8 33
298,7 27
301,59999999999997 23
304,5 30
307,4 20
310,3 26
313,2 18
316,09999999999997 16
319 24
321,9 15
324,8 9
327,7 26
330,59999999999997 19
333,5 26
336,4 20
339,3 24
342,2 18
345,09999999999997 16
348 14
350,9 19
353,8 10
356,7 20
359,59999999999997 13
362,5 10
365,4 15
368,3 15
371,2 15
374,09999999999997 12
377 10
379,9 17
382,8 9
385,7 12
388,59999999999997 9
391,5 8
394,4 9
397,3 7
400,2 11
403,09999999999997 7
406 10
408,9 9
411,8 15
414,7 11
