Пористость  
75
Модуль Юнга
9
Предел упругости
0,38
Деформация предела упругости
0,042
Предел текучести
0,4
Деформация предела текучести
0,047
Предел прочности
0,557
Деформация предела прочности
0,117
Распределение
5,8 133
8,7 771
11,6 879
14,5 804
17,4 826
20,3 687
23,2 642
26,099999999999998 635
29 623
31,9 597
34,8 509
37,699999999999996 551
40,6 476
43,5 489
46,4 454
49,3 374
52,199999999999996 388
55,1 375
58 342
60,9 308
63,8 290
66,7 291
69,6 293
72,5 287
75,39999999999999 250
78,3 216
81,2 190
84,1 189
87 181
89,89999999999999 150
92,8 141
95,7 125
98,6 142
101,5 94
104,39999999999999 99
107,3 94
110,2 85
113,1 90
116 79
118,89999999999999 66
121,8 72
124,7 77
127,6 53
130,5 60
133,4 62
136,29999999999998 48
139,2 41
142,1 56
145 40
147,9 35
150,79999999999998 42
153,7 38
156,6 32
159,5 29
162,4 27
165,29999999999998 19
168,2 26
171,1 24
174 21
176,9 17
179,79999999999998 12
182,7 14
185,6 12
188,5 19
191,4 10
194,29999999999998 11
197,2 11
200,1 6
203 13
205,9 12
208,79999999999998 7
211,7 9
214,6 6
217,5 4
220,4 8
223,29999999999998 6
226,2 2
229,1 5
232 5
234,9 2
237,79999999999998 3
240,7 6
243,6 3
246,5 2
249,4 1
252,29999999999998 3
255,2 5
258,09999999999997 2
261 3
263,9 2
266,8 1
269,7 6
272,59999999999997 0
275,5 2
278,4 0
281,3 0
284,2 0
287,09999999999997 2
290 1
292,9 0
295,8 0
298,7 1
301,59999999999997 0
304,5 3
307,4 0
310,3 0
313,2 0
316,09999999999997 0
319 0
321,9 0
324,8 1
327,7 0
330,59999999999997 0
333,5 2
336,4 0
339,3 2
342,2 0
345,09999999999997 0
348 0
350,9 0
353,8 1
356,7 0
359,59999999999997 0
362,5 1
365,4 1
368,3 1
371,2 0
374,09999999999997 1
377 0
379,9 0
382,8 0
385,7 0
388,59999999999997 0
391,5 0
394,4 0
397,3 0
400,2 0
403,09999999999997 0
406 0
