Пористость
45
Модуль Юнга
28,7
Предел упругости
1,04
Деформация предела упругости
0,034
Предел текучести
1,21
Деформация предела текучести
0,044
Предел прочности
0,149
Деформация предела прочности
0,15
Распределение
5,8 17
8,7 1593
11,6 916
14,5 667
17,4 540
20,3 466
23,2 432
26,099999999999998 426
29 385
31,9 358
34,8 340
37,699999999999996 350
40,6 377
43,5 357
46,4 413
49,3 410
52,199999999999996 401
55,1 479
58 486
60,9 457
63,8 492
66,7 466
69,6 399
72,5 384
75,39999999999999 408
78,3 359
81,2 322
84,1 307
87 328
89,89999999999999 298
92,8 247
95,7 307
98,6 251
101,5 247
104,39999999999999 210
107,3 217
110,2 206
113,1 217
116 224
118,89999999999999 203
121,8 179
124,7 194
127,6 181
130,5 171
133,4 193
136,29999999999998 146
139,2 152
142,1 137
145 158
147,9 141
150,79999999999998 143
153,7 131
156,6 112
159,5 115
162,4 112
165,29999999999998 105
168,2 101
171,1 109
174 89
176,9 100
179,79999999999998 79
182,7 104
185,6 84
188,5 79
191,4 81
194,29999999999998 76
197,2 82
200,1 68
203 70
205,9 61
208,79999999999998 39
211,7 66
214,6 61
217,5 48
220,4 51
223,29999999999998 42
226,2 38
229,1 44
232 56
234,9 46
237,79999999999998 39
240,7 40
243,6 50
246,5 44
249,4 38
252,29999999999998 42
255,2 41
258,09999999999997 35
261 32
263,9 38
266,8 32
269,7 41
272,59999999999997 28
275,5 25
278,4 31
281,3 24
284,2 16
287,09999999999997 25
290 12
292,9 5
295,8 28
298,7 20
301,59999999999997 14
304,5 19
307,4 10
310,3 14
313,2 25
316,09999999999997 12
319 20
321,9 14
324,8 18
327,7 13
330,59999999999997 16
333,5 12
336,4 9
339,3 14
342,2 10
345,09999999999997 9
348 9
350,9 9
353,8 8
356,7 6
359,59999999999997 11
362,5 7
365,4 8
368,3 5
371,2 7
374,09999999999997 8
377 9
379,9 5
382,8 5
385,7 3
388,59999999999997 5
391,5 2
394,4 2
397,3 8
400,2 7
403,09999999999997 6
406 5
408,9 7
411,8 3
414,7 5
417,59999999999997 3
